APPID,FellowStatedDate
535898e7-8d18-401a-bd0d-a398010520e1,6/27/16
778812a7-b96a-4113-823c-a39b010bfdbd,8/8/16
c8eab2c1-1c86-46a4-a18d-a39c00edd6fc,8/2/16
db768a07-e2b0-4908-aa08-a3ae00aaba79,8/4/16
008e6aa9-0150-4a02-b302-a3b1011c9209,6/20/16
f00dec86-81f4-4051-a814-a3b6011fb8e5,8/10/16
e8e63a13-f1c6-4901-82a3-a3b8012cdfa8,8/16/16
edde4896-7003-4461-8b7d-a3bd00f693f6,8/4/16
eeb81965-f17f-45f3-a385-a3bf00c35776,8/12/16
3f539fc2-bbec-427d-9565-a3c1007b34b9,7/12/16
dc96470a-7570-4ede-8913-a3c6011cfbb8,7/26/16
d59a3010-a258-4b71-8343-a3cb00cef0d3,5/19/16
31895544-bb7f-4587-947b-a3cc00da92bb,7/8/16
75901112-b11b-4069-b490-a3cd0140ef9c,8/19/16
3eaadfc5-dc9b-40d6-8007-a3d000bafd16,8/19/16
14276056-aade-4614-9a6f-a3d101234018,7/18/16
14276056-aade-4614-9a6f-a3d101234018,9/6/16
14276056-aade-4614-9a6f-a3d101234018,9/6/16
b6b77fd8-ce17-42f4-a97f-a3d1012cefe4,8/15/16
87b6f001-b32a-4b2b-bc6e-a3d200f89135,8/17/16
314bd891-9d65-46fc-8141-a3d30144fc10,7/14/16
30daa78f-f227-4b00-bf87-a3da00e83166,
48a511a5-2162-44c8-9041-a3da0106c2b3,8/9/16
3fde50ef-6c4b-480e-9d18-a3dc00b2e554,8/5/16
a8ec8a3e-abb4-4a8c-994e-a3df005bce5c,7/27/16
11db3ae7-0ccc-4667-aac7-a3e000242b78,8/30/16
15c717cb-fab6-4c70-a9b7-a3e100a7070f,6/6/16
93ee9685-b804-452c-8f95-a3e60121df5a,8/10/16
c2b5ffa0-38dd-447e-9e2e-a3e601692d0b,8/16/16
fb539f28-f2da-4b9f-8075-a3e701047a4c,8/9/16
4e4d7971-0b58-41c3-a490-a3e80143d964,8/1/16
322924f6-ae8d-4825-9649-a3e8014fc641,7/28/16
c7f5b638-84cb-43a9-8fd0-a3e9015efac4,8/24/16
69b276a2-b98e-45e9-8380-a3ee01287f86,7/28/16
f9073b68-761e-49da-a4ed-a3f000bab93d,8/8/16
fc542fdd-95e2-45d5-8371-a3f100c10dc0,6/21/16
b4927ca7-7c09-4b5d-ba92-a3f400b85f85,6/30/16
724ff1e7-423b-4688-bcb3-a3f401583465,6/8/16
f3b2dc3c-edd9-4fce-a4e3-a3fb00b6490f,7/14/16
05e6d0c7-6dd9-43cc-ae31-a3fb00e2b5ca,9/6/16
c49613cf-65f6-4053-8d16-a3fc009b3ce8,7/15/16
ce1cbc6c-1ca2-4377-bf58-a3fc00da9595,9/1/16
43956f4c-5067-43c3-aad5-a3fc018b55a1,7/25/16
8d16ec52-e897-4574-9f95-a3fe0117a15f,6/16/16
a8f84c32-932d-4510-b450-a3ff0097ce18,7/19/16
