DBN,School Name,,EH
12X098,J.H.S. 098 Herman Ridder,,Yes
12X129,M.S. 129 Academy for Independent Learning and Leadership,,Yes
12X134,P.S. 134 George F. Bristow,,Yes
12X150,P.S. 150 Charles James Fox,,Yes
12X190,E.S.M.T- I.S. 190,,Yes
12X195,P.S. 195,,Yes
12X196,P.S. 196,,Yes
12X211,P.S. 211,,Yes
12X212,P.S. 212,,Yes
12X214,P.S. 214,,Yes
12X217,School of Performing Arts,,Yes
12X242,Mott Hall V,,Yes
12X271,East Bronx Academy for the Future,,Yes
12X273,Frederick Douglass Academy V. Middle School,,Yes
12X286,Fannie Lou Hamer Middle School,,Yes
12X300,The School of Science and Applied Learning,,Yes
12X314,Fairmont Neighborhood School,,Yes
12X316,Kappa III,,Yes
12X318,"I.S. X318 Math, Science & Technology Through Arts",,Yes
12X341,Accion Academy,,Yes
12X372,Urban Assembly School for Wildlife Conservation,,Yes
12X383,Emolior Academy,,Yes
12X384,Entrada Academy,,Yes
12X388,Pan American International High School at Monroe,,Yes
12X446,Arturo A. Schomburg Satellite Academy Bronx,,Yes
12X458,Samara Community School,,Yes
12X463,Urban Scholars Community School,,Yes
12X478,The Cinema School,,Yes
12X479,Bronx Career and College Preparatory High School,,Yes
12X511,Bronx Envision Academy,,Yes
12X521,The Metropolitan Soundview High School,,Yes
12X531,Archer Elementary School,,Yes
12X536,P.S. 536,,Yes
12X550,High School of World Cultures,,Yes
12X684,Wings Academy,,Yes
12X691,Bronx Little School,,Yes
75X010,P.S. X010,,Yes
75X012,P.S. X012 Lewis and Clark School,,Yes
75X017,P.S. X017,,Yes
75X168,P.S. 168,,Yes
75X176,P.S. X176,,Yes
75X186,P186X Walter J. Damrosch School,,Yes
75X188,P.S. X188,,Yes
75X352,The Vida Bogart School for All Children,,Yes
75X469,P469X - The Bronx School for Continuous Learners,,Yes
75X721,P.S. X721 - Stephen McSweeney School,,Yes
75X723,P.S. 723,,Yes
75X754,J. M. Rapport School Career Development,,Yes
75X811,P.S. X811,,Yes
79Q950,P2G @ Adlai E. Stevenson HS,,Yes
79Q950,P2G @ Argus/Davidson Community Center,,Yes
79Q950,P2G @ Bronx NeON,,Yes
79Q950,P2G @ Bronx Regional - Referral Center/Hub ,,Yes
79Q950,P2G @ Bronx Youth Center,,Yes
79Q950,P2G @ Davidson Avenue,,Yes
79Q950,P2G @ DeWitt Clinton HS,,Yes
79Q950,P2G @ Bronx EOC,,Yes
79Q950,P2G @ Future Now @ Bronx CC ,,Yes
79Q950,P2G @ Lehman HS,,Yes
79Q950,P2G @ Mary Mitchell Family & Children's Center,,Yes
79Q950,P2G @ N. Central Bronx Hospital ,,Yes
79Q950,P2G @ New Settlement Apartments II,,Yes
79Q950,P2G @ Project Ready ,,Yes
79Q950,P2G @ The Children’s Aid Society,,Yes
79Q950,P2G @ Workforce1 @ West Farms,,Yes
79X695,Passages Academy at Bronx Hope,,Yes
79X695,Passages Academy at Horizons - Secure Juvenile Detention Center,,Yes
79X695,Passages Academy LSP @ Bruner Avenue,,Yes
79X695,Passages Academy LSP @ Ryer Avenue,,Yes
