MI School Data,,,,,,,,,,,
"Educator Effectiveness Snapshot
Detroit City School District: 2013-14 / Teachers",,,,,,,,,,,
Location,School Year,Highly Effective,Highly Effective (Percent),Effective,Effective (Percent),Minimally Effective,Minimally Effective (Percent),Ineffective,Ineffective (Percent),Total,
Detroit City School District,2013-14,"2,542",79%,541,17%,73,2.28%,52,2%,"3,208",
Individuals not assigned to a school are included in the district total.,,,,,,,,,,,
,,,,,,,,,,,
location,school_year,highly_effective,highly_effective_percent,effective,effective_percent,minimally_effective,minimally_effective_percent,ineffective,ineffective_percent,effective_or_more_percent,total
Foreign Language Immersion and Cultural Studies,2013-14,32,0.94,2,0.06,0,0,0,0,1,34
Foundation for Early Learners @ Rutherford Charter,2013-14,1,0.5,1,0.5,0,0,0,0,1,2
Gardner Elementary School,2013-14,16,0.8,3,0.15,1,0.05,0,0,0.95,20
Garvey Academy,2013-14,27,0.87,3,0.1,0,0,1,0.03,0.97,31
Golightly Career and Technical  Center,2013-14,12,1,0,0,0,0,0,0,1,12
Golightly Education Center,2013-14,19,0.73,7,0.27,0,0,0,0,1,26
Gompers Elementary-Middle School,2013-14,39,0.78,7,0.14,0,0,4,0.08,0.92,50
Greenfield Union Elementary-Middle School,2013-14,25,0.81,2,0.06,0,0,4,0.13,0.87,31
Harms Elementary School,2013-14,29,1,0,0,0,0,0,0,1,29
Henderson Academy,2013-14,38,0.83,4,0.08,3,0.07,1,0.02,0.91,46
"Holmes, A.L.  Elementary-Middle School",2013-14,28,0.78,7,0.19,1,0.03,0,0,0.97,36
Hutchinson Elementary-Middle School,2013-14,30,0.86,4,0.11,1,0.03,0,0,0.97,35
Jerry L White Center High School,2013-14,27,0.9,3,0.1,0,0,0,0,1,30
Keidan Special Education School,2013-14,15,0.65,7,0.31,0,0,1,0.04,0.96,23
King High School,2013-14,47,0.64,25,0.33,2,0.03,0,0,0.97,74
"King, John R. Academic and Performing Arts Academy",2013-14,35,0.73,12,0.25,1,0.02,0,0,0.98,48
Ludington Magnet Middle School,2013-14,24,0.92,2,0.08,0,0,0,0,1,26
Mackenzie Elementary-Middle School,2013-14,50,0.89,3,0.06,0,0,3,0.05,0.95,56
Mann Elementary School,2013-14,11,0.46,13,0.54,0,0,0,0,1,24
Mark Twain Elementary-Middle School,2013-14,15,0.83,3,0.17,0,0,0,0,1,18
Marquette Elementary-Middle School,2013-14,26,0.53,17,0.35,4,0.08,2,0.04,0.88,49
"Marshall, Thurgood Elementary School",2013-14,30,0.77,6,0.15,1,0.03,2,0.05,0.92,39
Mason Elementary School,2013-14,14,0.4,15,0.43,5,0.14,1,0.03,0.83,35
