dom2_dom3_avg,percent,count
1.5,0.010752688172043012,1
1.8333333333333335,0.021505376344086023,2
2.0,0.11827956989247312,11
2.1666666666666665,0.010752688172043012,1
2.333333333333333,0.043010752688172046,4
2.5,0.07526881720430108,7
2.6666666666666665,0.021505376344086023,2
2.666666666666667,0.07526881720430108,7
2.833333333333333,0.03225806451612903,3
2.8333333333333335,0.010752688172043012,1
3.0,0.13978494623655913,13
3.1666666666666665,0.010752688172043012,1
3.166666666666667,0.07526881720430108,7
3.333333333333333,0.06451612903225806,6
3.5,0.06451612903225806,6
3.666666666666667,0.043010752688172046,4
3.833333333333333,0.03225806451612903,3
4.0,0.043010752688172046,4
4.166666666666666,0.021505376344086023,2
4.333333333333334,0.010752688172043012,1
4.666666666666666,0.010752688172043012,1
5.0,0.021505376344086023,2
NA,0.043010752688172046,4
