TT2ID,c27id,uni,FC_ID,Cohort,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom4a,oct_rel_effect
06b6d967-c5b8-42d2-8c7b-a52c010728cd,50638,Brooklyn College,1110,,,11,CTT/ICT,,30-Sep-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Average
071a7d3f-3a4b-49cd-a0d1-a50d00cd5f81,50411,Pace University,949,Cohort 27,97X176,10,D75,D75,6-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Average
075e2fea-904e-46a1-be0c-a42200a7af04,50245,St. John's University,1776,Cohort 27,Q445,10,N/A,Math,27-Sep-16,Developing,Developing,Developing,Developing,Developing,Developing+,Developing,Developing,Developing,Developing,Average
07adfb90-0709-42a2-824f-a59300f776ac,50951,Lehman College,1843,Cohort 27,X437,10,N/A,Science,28-Sep-16,Developing+,Developing,Developing,Developing,Developing+,Developing,Developing,Developing,Developing,Developing,Above Average
07b82a4a-48b0-410a-a72d-a41901391be3,50175,St. John's University,250,Cohort 27,M529,9,SETTS,Special Education,6-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Below Average
07c04a91-7c32-4e6c-ad22-a4eb00cc01e4,50518,Brooklyn College,112,,,8,CTT/ICT,,28-Sep-16,Effective+,Effective,Developing+,Effective+,Effective+,Effective+,Developing+,Developing+,Developing+,Effective+,Above Average
08176368-eb7b-4155-97cc-a56201010573,50820,Pace University,1845,Cohort 27,97K771,6,D75,Special Education,29-Sep-16,Developing+,Developing+,Effective,Effective,Effective,Effective,Developing+,Effective,Effective,Effective,Above Average
08902a6e-4dd5-4eca-8963-a56a01269cdc,51131,City College,1782,Cohort 27,M145,6,Self-contained,Bilingual,27-Sep-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Highly Effective,Average
08e69f35-e9dc-44ae-a8c6-a556012f3e05,50578,St. John's University,1686,Cohort 27,X265,11,CTT/ICT,English,11-Oct-16,Developing,Developing,Developing,Developing+,Developing+,Effective,Developing,Developing,Developing,Developing,Below Average
08e87c9c-ca64-476f-9fbb-a54f00bc62fd,51107,Long Island University,1937,Cohort 27,K673,11,CTT/ICT,Special Education,11-Oct-16,Developing,Developing,Developing+,Developing+,Developing+,Effective,Developing,Developing,Developing,Developing+,Average
08f2582e-3dd7-42c6-85d4-a528016ac9f1,50479,Hunter TESOL,2052,Cohort 27,K214,2,N/A,Bilingual,21-Oct-16,Effective,Effective,Effective,Effective,Effective,Effective,Developing+,Effective,Developing+,Developing+,Above Average
092ad3b3-e843-4282-b598-a4d600b19315,50382,Pace University,250,Cohort 27,X17,6,D75,D75,5-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Above Average
