School Code,APP USER ID,Six- Digit ID
10X331,402fc119-9617-4b41-b4c9-a45b00dc0cf3,51298
07X551,7b52d4bb-bb05-436f-accf-a59800a3e6e5,51264
13K113,07642304-df7e-4d7a-a21a-a56d0115d4d5,51265
10X091,975471ee-46bb-4c2f-ba0d-a5fe00e261e6,51232
97K140,bfa3125d-ab66-401a-971b-a60500c476a7,51198
05M369,262aa0cb-a4b1-4db6-9ad4-a58900e17606,51267
09X231,3f9a2e78-6e01-43af-9249-a5b600a01420,51269
29Q034,f6ee2915-f659-4812-841b-a3d9014b3978,51301
27Q273,b6878e5b-41a4-450c-898c-a436016c8351,51304
97Q752,a76281cb-e779-47ed-a01c-a5ec011039c3,51200
97M079,63a55da7-9b4a-4714-afa4-a5df011d1a3b,51201
09X145,3200aa6f-ae53-47d9-87ef-a54d000f0f75,51272
97Q752,c65d775c-708d-4114-994a-a613004202e7,51203
97X176,0a9a10d6-9e2f-4f81-837b-a3be0129b851,51204
19K422,9fcbe58a-545d-4799-8b85-a5c200b6a64a,51310
23K671,d5b35041-cf96-41f7-b6cf-a5b400dcadb0,51311
03M299,010df90f-33bf-4f71-9aec-a5c401704fcf,51276
27Q100,3f915bda-51e1-445a-9132-a59f00b7e45a,51312
06M293,d19cef18-ff6d-4683-8478-a60300e62012,51246
09X525,89944cae-fa2e-47fe-a8bd-a5bd00f2f710,51277
07X547,f9ffba5a-657f-429c-ac2f-a4f000ace0df,51278
10X091,893ce1e7-689c-4ffd-8cd2-a5ac00ec260e,51316
11X370,4fe73d08-ef77-404a-bc8e-a528017373c0,51317
07X049,a2897885-5cec-4f23-ac3a-a52300b24529,51318
10X225,2257a1b5-0425-41b5-a0fb-a5a30055cbe3,51281
97X721,677d086f-1498-44c4-b1af-a2b201444222,51213
97Q752,101eaea2-cd7f-4620-85c1-a59400aec540,51216
97X176,dabc9d29-cfb3-4c0c-9bd5-a5b700f8a438,51217
97X188,6851f97e-7c32-4ae3-8c85-a60000369077,51218
09X035,3d678217-852c-42a5-9a4d-a5a700fde3c3,51326
97X168,701d1be0-4aff-4821-b0ac-a61000dc5c5d,51220
97M079,d26ed919-280f-497e-b7da-a41001424066,51286
07X005,59217436-8317-487d-90ba-a2ee00a51dc5,51330
09X323,13fedbaf-cf1b-40bf-8de9-a12a00ce75e9,51288
02M393,d02925ac-aacf-4077-a496-a5b400a156f4,51289
07X522,1967e252-b36e-420a-b650-a5e2013be47b,51257
23K493,e2afcdb9-63a0-4167-a1f9-a2ac00a32ce2,51291
05M369,a6c83a59-ce56-4a10-96e1-a5700169fa24,51294
11X556,9333da77-4326-4230-bd01-a5a600e33d01,51260
05M194,bf2cb73c-fbd2-492e-be0e-a59e01599d0d,51262
17K382,f91537bf-4228-48ea-a119-a454010e8d5b,51231
97X176,cd3685e9-95f9-483c-8135-a5ae00d4d6d9,51263
28Q072,d31c97e2-972b-4f29-b0f5-a59e012d7af2,51268
27Q262,96a75846-2570-4a41-b92b-a46c00e55ca7,51270
20K205,1be1433a-bb33-4cd5-b928-a5f400fab437,51235
21K559,7958a324-2a83-4a89-8a6c-a52900e9a6c9,51271
12X006,9c4fe748-f612-452d-8b1e-a5be00eb682b,51306
27Q475,1b568102-d9a1-4d3c-9af6-a50400db23f6,51237
10X080,407e8174-b0f7-4f0b-8350-a5b20132d5d3,51273
27Q475,45eb2fe5-1f53-430b-bbd8-a5fc00eb73f1,51240
12X682,f1a98ed3-221d-48ed-b309-a5f400db5b23,51274
10X440,8f2475d3-bca4-4ca5-97cd-a20c00f80406,51242
97K368,d8bcb480-940f-44db-b76c-a5f00095db65,51206
97Q752,d71b7a00-55ac-4d49-ad15-a5f7013adfa4,51209
32K552,b2e68bac-f960-44fa-a7d1-a5c40172e0d8,51247
97K373,1c794496-f6fc-4207-a34f-a0d900fb2a7f,51210
10X080,2435e5ec-f297-4e2c-99d0-a2c700c1b53d,51279
10X080,e113d8f0-6cda-4feb-8ff4-a5f3011c811d,51250
05M514,51699733-c580-47bd-9462-a5ea00d7a765,51251
11X508,6f8990dc-4d2f-483b-9b34-a54a01554419,51280
27Q319,711e5c39-3de5-4cbc-a50b-a5c001040fbe,51319
97K369,a024d0f9-7583-4f04-892b-a60e011ff6ba,51211
97K396,089cfb06-3cca-4850-8305-a5c5011e3f5f,51320
21K281,5429d42a-4cf5-41ef-8804-a5b600cc8b14,51322
24Q077,4af6fa7a-eabe-4ad1-a01f-a57c0160d515,51282
24Q005,8a09e5d8-96a1-48d7-bff8-a5b500da92a8,51283
27Q262,88b1dfe6-7bd0-4fe1-afea-a6010128e600,51253
09X132,51fc415d-ae40-431d-b6e2-a53301495c59,51323
97M751,ed850b49-34b8-45ce-84e7-a5d200939dd3,51215
08X332,22fafd11-1164-484b-8208-a25300bfcc84,51284
97X188,378408f5-cd10-4997-8ba9-a59900f14b7d,51221
28Q349,df67de0d-a276-4a93-b935-a58a0132a17e,51329
15K667,24c2431f-55c7-4d4d-8912-a58e018b37bd,51287
97X012,7444681c-dede-4a89-b8cb-a5ee01741f4c,51222
02M529,4db41c5b-4111-48f4-b0e3-a5b400df4dfb,51290
97K368,a7659f13-89c4-4622-9e9d-a5fb0101a3df,51225
32K562,7c1e98cc-bca2-4a16-9204-a52a01330232,51332
